Id,Have,Base,Name,Sub Base,Ingredient,Ingredient Type,Amount,Units,Link
200,No,Cordial,Heavenly Orgasm,Frangelico,Baileys Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
201,No,Cordial,Monk on Coke,Frangelico,Frangelico Liqueur,Cordial,1.5,Ounce,http://www.drinksmixer.com/cat/2384/
202,No,Cordial,Monk on Coke,Frangelico,Coke,Soda,0,Fill,http://www.drinksmixer.com/cat/2384/
203,No,Cordial,Monk's Butt,Frangelico,Frangelico Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
204,No,Cordial,Monk's Butt,Frangelico,Buttescotch Schnapps,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
120,No,Cordial,Drunken Elf,Crème de Menthe,Crème de Menthe (Green),Cordial,1.5,Ounce,http://www.drinksmixer.com/cat/2406/
206,No,Cordial,Monk's Butt,Frangelico,Milk,Mixer,1,Ounce,http://www.drinksmixer.com/cat/2384/
207,No,Cordial,Nuts and Berries,Frangelico,Frangelico Liqueur,Cordial,0.5,Ounce,http://www.drinksmixer.com/cat/2384/
208,No,Cordial,Nuts and Berries,Frangelico,Chambord,Cordial,0.5,Ounce,http://www.drinksmixer.com/cat/2384/
209,No,Cordial,Nuts and Berries,Frangelico,Cream,Mixer,2,Ounce,http://www.drinksmixer.com/cat/2384/
210,No,Cordial,Snicker Recipe,Frangelico,Frangelico Liqueur,Cordial,0.75,Ounce,http://www.drinksmixer.com/cat/2384/
211,No,Cordial,Snicker Recipe,Frangelico,Baileys Liqueur,Cordial,0.75,Ounce,http://www.drinksmixer.com/cat/2384/
130,Yes,Cordial,Irish Pride,Crème de Menthe,Crème de Menthe (Green),Cordial,3,Ounce,http://www.drinksmixer.com/cat/2406/
213,No,Cordial,Snicker Recipe,Frangelico,Cream,Mixer,0.75,Ounce,http://www.drinksmixer.com/cat/2384/
214,No,Cordial,Vixen,Frangelico,Frangelico Liqueur,Cordial,5,Ounce,http://www.drinksmixer.com/cat/2384/
215,No,Cordial,Vixen,Frangelico,Kahlua,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
216,No,Cordial,Vixen,Frangelico,Grenadine,Mixer,1,Ounce,http://www.drinksmixer.com/cat/2384/
217,No,Cordial,Cherry Coffee Coke,Kahlua,Kahlua,Cordial,1,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
218,No,Cordial,Cherry Coffee Coke,Kahlua,Maraschino Liqueur,Cordial,1,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
219,No,Cordial,Cherry Coffee Coke,Kahlua,Coke,Soda,6,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
220,No,Cordial,Hot Chocolate,Kahlua,Kahlua,Cordial,2,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
221,No,Cordial,Hot Chocolate,Kahlua,Hot Chocolate,Mixer,8,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
222,No,Cordial,Kahlua and Coke,Kahlua,Kahlua,Cordial,2,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
223,No,Cordial,Kahlua and Coke,Kahlua,Coke,Soda,3,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
224,Yes,Cordial,Kahlua Sour,Kahlua,Kahlua,Cordial,2.5,Ounce,https://advancedmixology.com/blogs/art-of-mixology/29-kahlua-drink-recipes-you-can-try-at-home
